,,,,,,,Def,Def,Def,Def,,-additional
Rk,Player,Int,Season▼,Age,G,GS,Int,Yds,IntTD,PD,Pos,-9999
,Sam Madison,7,1999,25,16,16,7,164,1,12,RCB,MadiSa00
,Fred Marion,7,1985,26,16,16,7,189,0,,FS,MariFr00
,Martin Mayhew,7,1990,25,16,15,7,20,0,,LCB,MayhMa20
,Devin McCourty,7,2010,23,16,16,7,110,0,17,LCB,McCoDe99
,Terry McDaniel,7,1994,29,16,16,7,103,2,,LCB,McDaTe00
,Tim McDonald,7,1989,24,16,16,7,170,1,,SS,McDoTi00
,Vann McElroy,7,1986,26,16,16,7,105,0,,FS,McElVa00
,Tim McKyer,7,1988,25,16,16,7,11,0,,LCB,McKyTi20
,Bruce McNorton,7,1983,24,16,8,7,30,0,,RCB,McNoBr20
,Lance Mehl,7,1983,25,16,16,7,57,1,,RLB,MehlLa00
,Leroy Mitchell,7,1968,24,14,14,7,41,0,,LCB,MitcLe00
,Mark Murphy,7,1981,26,16,16,7,68,0,,FS,MurpMa20
,Tom Myers,7,1979,29,15,15,7,127,1,,FS,MyerTo01
,Jerry Norton,7,1961,30,14,13,7,136,2,,SS,NortJe00
,Jim Norton,7,1965,27,14,14,7,52,0,,SS,NortJi00
,Phil Nugent,7,1961,22,12,10,7,77,0,,SS,NugePh20
,Brig Owens,7,1966,23,14,13,7,165,1,,SS,OwenBr20
,Bernie Parrish,7,1961,25,14,14,7,40,0,,LCB,ParrBe00
,Lemar Parrish,7,1980,33,15,15,7,13,0,,LCB,ParrLe00
,Lemar Parrish,7,1971,24,14,14,7,105,1,,LCB,ParrLe00
,Tony Parrish,7,2002,27,16,16,7,204,0,17,SS,ParrTo20
,Jimmy Patton,7,1962,29,14,14,7,125,0,,FS,PattJi00
,Dainard Paulson,7,1965,28,14,13,7,72,0,,SS/FS,PaulDa00
,Darren Perry,7,1994,26,16,16,7,112,0,,FS,PerrDa20
,Patrick Peterson,7,2012,22,16,16,7,64,0,16,LCB,PetePa00
,Ahmed Plummer,7,2001,25,15,15,7,45,0,18,LCB,PlumAh20
,Bobby Ply,7,1962,22,14,3,7,144,0,,DB,PlyxBo20
,Johnnie Poe,7,1983,24,16,16,7,146,1,,RCB,PoexJo20
,Troy Polamalu,7,2008,27,16,16,7,59,0,17,SS,PolaTr99
,Troy Polamalu,7,2010,29,14,14,7,101,1,11,SS,PolaTr99
,Tom Pridemore,7,1981,25,16,16,7,221,1,,FS,PridTo20
,Glover Quin,7,2014,28,16,16,7,117,0,10,FS,QuinGl99
,Darrol Ray,7,1981,23,16,16,7,227,2,,FS,RayxDa20
,Ken Reaves,7,1967,23,14,14,7,153,0,,LCB,ReavKe00
,Ed Reed,7,2003,25,16,15,7,132,1,15,SS,ReedEd00
,Ed Reed,7,2007,29,16,16,7,130,0,13,FS,ReedEd00
,Mel Renfro,7,1964,23,14,14,7,110,1,,FS,RenfMe00
,Mel Renfro,7,1967,26,9,9,7,38,0,,FS,RenfMe00
